Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1680272161.83961,133028,1680272161,839402000,panda_K,-7.858739668169527,4.600721543870799,-2.676204619463172,0.5150908630218545,-0.7794087067943538,0.2844774158293794
1680272161.8418357,133029,1680272161,841397855,panda_K,-7.805722272379382,4.6833049935068285,-2.581452227169656,0.5296107206357278,-0.7808364626610308,0.2847334133450905
1680272161.8435647,133030,1680272161,843400868,panda_K,-7.768616450316567,4.754220768812772,-2.5081594837684382,0.5432806059429562,-0.7808305791610027,0.2846975546254089
1680272161.8458843,133031,1680272161,845420588,panda_K,-7.746491532758641,4.806996437141384,-2.4346646521822914,0.5550255430318355,-0.7784655520178925,0.2844147546690408
1680272161.8475251,133032,1680272161,847360211,panda_K,-7.710613771338423,4.852895334892057,-2.3796167704185316,0.5659460572248677,-0.7789836438632742,0.28397027088577353
1680272161.8486488,133033,1680272161,848392645,panda_K,-7.691240293782622,4.876454533837657,-2.3542167627936297,0.5716724175625182,-0.7795771575824838,0.28364259926893903
1680272161.8497465,133034,1680272161,849423533,panda_K,-7.665855595631386,4.903319902393939,-2.3325004745678384,0.5778966796758105,-0.7813259037848339,0.2832713477487579
1680272161.8520908,133035,1680272161,851434926,panda_K,-7.6320137404834485,4.941265946862426,-2.31695883696646,0.5859372465765269,-0.7846374408244713,0.282824970004328
1680272161.8538966,133036,1680272161,853478791,panda_K,-7.507749273522178,5.044083164925933,-2.2596834539554336,0.606195383305925,-0.7979507438733544,0.28219930052735254
1680272161.8555825,133037,1680272161,855361701,panda_K,-7.396230254592731,5.071020279753711,-2.2291333746852096,0.6100136494197437,-0.8121007427315137,0.28278466340330066
1680272161.856702,133038,1680272161,856364479,panda_K,-7.331824810788219,5.088198160541414,-2.212944524437298,0.6122363809280046,-0.8204003559649746,0.28312644151721356
1680272161.858942,133039,1680272161,858359394,panda_K,-7.194932134236157,5.1059781797365025,-2.159788022313969,0.6133955705332037,-0.8373288948950607,0.2840564704432353
1680272161.8595073,133040,1680272161,859379420,panda_K,-7.120231148058521,5.098289690537922,-2.1362551242340615,0.610556151522585,-0.846961432080028,0.2848298282069712
1680272161.86168,133041,1680272161,861341425,panda_K,-7.037297209694245,5.069736780883338,-2.108772467543002,0.603640417286908,-0.8579608801829165,0.2859577545992183
1680272161.8627927,133042,1680272161,862364224,panda_K,-6.859349928591439,4.968625223949532,-2.0216972257667636,0.5821361433931534,-0.8809703435586085,0.28889512062844047
1680272161.8648407,133043,1680272161,864518179,panda_K,-6.690394050927718,4.8516800742981925,-1.9126444643597555,0.5585591701091148,-0.9014981048461388,0.29205954578291693
1680272161.8664436,133044,1680272161,866374037,panda_K,-6.523516050860707,4.760593579951649,-1.8178867989593148,0.5403759717691229,-0.9215551211022434,0.29484816806044295
1680272161.8675478,133045,1680272161,867375751,panda_K,-6.4381039456939,4.707518396693783,-1.7713862805585145,0.5303006108420673,-0.9318224969575999,0.29627858557222775
1680272161.8698225,133046,1680272161,869340033,panda_K,-6.278168314205603,4.573527566778919,-1.6940301081733882,0.5055096414996655,-0.9509462389233362,0.29949137445874985
1680272161.870932,133047,1680272161,870367617,panda_K,-6.203289345638649,4.50411750349222,-1.6733282746258158,0.49262322429816513,-0.9601302024173415,0.30123666656351267
1680272161.8715172,133048,1680272161,871375377,panda_K,-6.129249576401303,4.439782484830312,-1.671284486784396,0.4804755340947594,-0.9696861803800916,0.30304059721874993
1680272161.8737874,133049,1680272161,873367438,panda_K,-5.989188677148186,4.3421729800758815,-1.7064078966942973,0.4618921664834418,-0.988282485689162,0.30648712149330753
1680272161.87554,133050,1680272161,875342623,panda_K,-5.8536981719318755,4.230601527736705,-1.6963713842585677,0.44256481652935753,-1.0041988967565738,0.3098128119329102
1680272161.8766687,133051,1680272161,876345443,panda_K,-5.780490673499383,4.158810675013984,-1.6781299150267839,0.43056679336342185,-1.0126222388429351,0.31155009349848284
1680272161.8777723,133052,1680272161,877426247,panda_K,-5.700229890745991,4.084931083999111,-1.6654497787513685,0.4182207249796117,-1.0223599898333504,0.3133159978185327
1680272161.8789377,133053,1680272161,878458973,panda_K,-5.612698165769744,4.009618226615353,-1.6563638305250197,0.40566114754879845,-1.0333338584274854,0.31512216760178946
1680272161.880672,133054,1680272161,880433057,panda_K,-5.422112179181613,3.866630007816922,-1.6351944566929597,0.38236022288688976,-1.0572152193628488,0.318694342764261
1680272161.882962,133055,1680272161,882467237,panda_K,-5.216895148037467,3.7247864687106507,-1.5989411498348576,0.35976758718647184,-1.0824327723742457,0.3222896992373213
1680272161.88469,133056,1680272161,884388709,panda_K,-4.989856516450408,3.58190231475118,-1.5406105421825294,0.33677523563425094,-1.1099866133864995,0.3260138772809346
1680272161.8869483,133057,1680272161,886366207,panda_K,-4.736129636323728,3.4510254650874446,-1.4557654547565764,0.31567654175709786,-1.14033878080795,0.3297462334449568
1680272161.8885818,133058,1680272161,888361855,panda_K,-4.471380432782008,3.3468423550603617,-1.3099054995779866,0.3001614667159991,-1.1694615060732008,0.3332416423429053
1680272161.8908036,133059,1680272161,890335312,panda_K,-4.3383728006465665,3.2938823531261447,-1.2185090337646882,0.29219281798621494,-1.1832916074929367,0.3350968415461562
1680272161.8914242,133060,1680272161,891356969,panda_K,-4.06743152499231,3.192485862800359,-1.0332507044663324,0.27630500647235634,-1.211342347693527,0.339047292201032
1680272161.8936422,133061,1680272161,893361713,panda_K,-3.789165109346968,3.120461758163532,-0.8680157908520695,0.26532578252538264,-1.2409095779523844,0.3428184015643163
1680272161.8958566,133062,1680272161,895327553,panda_K,-3.6524454414950855,3.088404976825979,-0.7923656522650614,0.26047201137631626,-1.2555637692213835,0.3446647156717055
1680272161.8975527,133063,1680272161,897346023,panda_K,-3.3926609744079017,3.0382276775894455,-0.6488517602670087,0.2533765509119441,-1.2827838638293305,0.34826732659960846
1680272161.898665,133064,1680272161,898346396,panda_K,-3.1611773729873214,3.006342538666554,-0.5012937758382129,0.2504352404415088,-1.304898371200402,0.35163046301672957
1680272161.9009867,133065,1680272161,900349044,panda_K,-2.9605499022435815,3.007561428241288,-0.398606331719229,0.25332561615421956,-1.3231507502600957,0.3546662521740113
1680272161.9014978,133066,1680272161,901391670,panda_K,-2.867576827791327,3.0238264645330837,-0.36544368046411074,0.2576999918309081,-1.331552477049836,0.3559868982724038
1680272161.903716,133067,1680272161,903352111,panda_K,-2.6991889312468658,3.0915743825647986,-0.35018284755286755,0.272479598824674,-1.3469079724846507,0.35827195920628524
1680272161.9054387,133068,1680272161,905333753,panda_K,-2.549248950537086,3.205660923213659,-0.37979451701772676,0.29560161555376885,-1.3602862999212613,0.3600725654302638
1680272161.9076316,133069,1680272161,907327133,panda_K,-2.410798222397569,3.3358587663677772,-0.40152392407918724,0.3230011298917582,-1.3714193862285906,0.3614743062904831
1680272161.9087112,133070,1680272161,908346640,panda_K,-2.3467927735133745,3.4091359353504735,-0.40446243627542816,0.33877513183214225,-1.3758140757050026,0.3619654132237147
1680272161.909804,133071,1680272161,909344583,panda_K,-2.2820738434569665,3.4821596669191814,-0.4015276351853568,0.35469101108313617,-1.380127509735361,0.3623924575898825
1680272161.9115093,133072,1680272161,911344937,panda_K,-2.1400612035260957,3.6338465517901968,-0.37479955286169037,0.38807506538485625,-1.389993450460585,0.3629849805823733
1680272161.9137726,133073,1680272161,913343431,panda_K,-1.972182444851918,3.7624743690507017,-0.3186378698719471,0.41747895533178264,-1.403131392862555,0.3638153324813022
1680272161.9155035,133074,1680272161,915353275,panda_K,-1.768363127155311,3.860383738952339,-0.24486689762327163,0.44153290553317176,-1.4217218726360497,0.3650173421609766
1680272161.9166336,133075,1680272161,916354115,panda_K,-1.6538748930795355,3.9034699741179946,-0.20529870827242408,0.4525532557286404,-1.433049836111788,0.3656791234278087
1680272161.9194682,133076,1680272161,919354058,panda_K,-1.4104583012972278,3.9885055495410873,-0.13003496001385628,0.4741286078459264,-1.458350457257371,0.3669928661416936
1680272161.9205768,133077,1680272161,920357732,panda_K,-1.1608056037228078,4.0533270754961,-0.06360897465247804,0.49098295362096406,-1.4852872699571353,0.36859734316833653
1680272161.92393,133078,1680272161,923350627,panda_K,-0.9175997597024967,4.1056482331022055,0.01768076074733773,0.5054601772022705,-1.5105429864086297,0.37032038799455713
1680272161.9245157,133079,1680272161,924352195,panda_K,-0.690535312883582,4.158330343773365,0.11581782643751418,0.5205728990429173,-1.5322463314251276,0.37195187229004806
